artist_name,spotify_id
King Krule,4wyNyxs74Ux8UIDopNjIai
Dean Blunt,5CFSYjc0PAiQvndFjafabk
bar italia,6tYmTHApvspl6KAgTfHjAY
Fontaines D.C.,3SXwqSqAoBz9WCI9PDQzY6
Wet Leg,2TwOrUcYnAlIiKmVQkkoSZ
Wolf Alice,3btzEQD6sugImIHPMRgkwV
FKA twigs,6nB0iY1cjSY1KyhYyuIIKH
A. G. Cook,335TWGWGFan4vaacJzSiU8
SOPHIE,5a2w2tgpLwv26BYJf2qYwu
Charli XCX,25uiPmTg16RbhZWAqwLBy5
PinkPantheress,78rUTD7y6Cy67W1RVzYs7t
Mount Kimbie,3NUtpWpGDoffm3RCGhSHtl
Vegyn,5iUnvXddCpOrbWKm7QMr6o
mark william lewis,2r5elgyPQ19vDG3xSQn39k
the sound chalk makes,4uiFRdH1ESOicHwBuTbsY5
Bassvictim,7f8ydynRRnrJBqWxevKLcM
fakemink,0qc4BFxcwRFZfevTck4fOi
Feng,278vNvolx8H3sQJ2hgOMnh
ok,1uiGVqVPmQxy5lD8SHGAy5
Fimiguerrero,4M5b70A8aORXdyJVjRJ8du
Rico Ace,4sY0lTSkfDMMt27cVvFT6o
EsDeeKid,0EyhkwP3UnwGFBy6xwKjSy
Saam Sultan,3SgILNFTHSwmacOonffY93
Buckshot,0HPG2EIdGCP6gjXW0KzrJq
Iglooghost,7LCDnUQYE07fnKbo46SVLB
BABii,30qGwXnygZNCzxjN7QsIR0
Pholo,53Wk6hhoFwz3REXaZ2XW2a
Burial,0uCCBpmg6MrPb1KY2msceF
Floating Points,2AR42Ur9PcchQDtEdwkv4L
Squarepusher,4mtHSXwIHihO6MWNq5Qoko
µ-Ziq,7AiamoV760pPGGM5PbOC6X
shame,4IeWU3NYBI9mISFVhzXG8f
Squid,685XjGzGztyivfR3fAjoxo
black midi,7Hvq85OU8T7Hsd63zNBwaL
Black Country New Road,3PP6ghmOlDl2jaKaH0avUN
Geordie Greep,65Msz2E34NUtbjEbsrsJlJ
NINA,53O83dY0rBGmnM4gV7Sqyr
Sokora Violetov,3PVUWPpPcUtoX3qeKwGJA6
The Crying Nudes,3tM7dj8ztmzKcugbIVMxy0
Joanne Robertson,4MdQ9btIlh6rzIMA19tu3L
Inga Copeland,1ZdoULgEhBXOV2g3j3Zhhi
Babyfather,3DmDJOQgrwlq8MxXGLeFvA
Hype Williams,3SMaI6j8ObewCWPQFwfvui
Palmistry,4qm6T9pMFiyCDHFTHZchrY
Yawning Portal,68fiKpJLoB94P1fLMZTZbC
POiSON ANNA,1qC3BErhNjJ0AP7Ddg4YfD
TYSON,10SYd6NatYImOQTxA88jdn
GAIKA,543QE1sqcqcNAL8JSK4Jzd
Horsey,3ey9OSASkq8HNPh0u7jjfO
James Blake,53KwLdlmrlCelAZMaLVZqU
Nilüfer Yanya,09kXLeOXRyfNQMXRaDO4qA
Andrea Balency,19WKgM9hPs6GwwBciAyxYF
DJ Escrow,4i5UOIADuSXTKilet78GPV
Drug Store Romeos,7MMjkDVrjxW9iObeZeeejh
Jamie Isaac,3s2jqlVaDwlRKk3mF7WT2b
Katy J Pearson,6xBsaFua2lgAUlNv8Yh0nQ
Mica Levi,29LOCR81IrdEJjCAeCEOU3
Nova Varnrable,7eXnw7Cn85i2s9aYNAERcR
Novelist,4OPTZC24954HYBeHKeoLSc
Sarah Meth,2cveuRnx0cbS41GQTBcuRz
Skepta,2p1fiYHYiXz9qi0JJyxBzN
Shygirl,3M3wTTCDwicRubwMyHyEDy
Rina Sawayama,2KEqzdPS7M5YwGmiuPTdr5
Finn Keane,2IRRnJ7AkcLnqMX8jvQqrW
Thy Slaughter,4tXmMY3u0qbzec7aocHPPt
Sam Gellaitry,07UJz804RJxqNvxFXC3h9H
SONIKKU,31iYRMOM5mUFDxPMMljOZ9
Broadside Hacks,3hOsP3tSu2uLW3DKug9U3J
H. Hawkline,7FmM0XgimRvS48CfObh2ht
Max Tundra,08DpSTsNFBf1PxTm9lwpXb
Mura Masa,5Q81rlcTFh3k6DQJXPdsot
Sampha,2WoVwexZuODvclzULjPQtm
Auntie Flo,6XYOjW5wxf5V9hwAR58o4d
Azekel,446nYwuXzCKnDwZUu4kGQA
Bert Ussher,5wrKifbC5rq1uK0Dqsa6uM
GLOR1A,2Xf1wbdyd9UKB8TFt95LTK
George Daniel,52pQ22DziZVOOeL1mCmccT
Hannah Diamond,3sXErEOw7EmO6Sj7EgjHdU
Jelani Blackman,0fjaIHFhiW9vWX8bncZCOo
Jon Hopkins,7yxi31szvlbwvKq9dYOmFI
Koreless,3TsEEdpuuCN1G0dPxV4uOA
Louis VI,7tQDfSGEfN1CJcCmnnN4FV
Orbury Common,5mObFLIzPS4XGDTkNVaQrg
Pocket,2VizsdU66dsMBEg8h4Vkzo
Stone Club,4mZVIvEX3d2fHUKqiwJN8r
The 1975,3mIj9lX2MWuHmhNCA7LSCW
The Japanese House,3IunaFjvNKj98JW89JYv9u
Throwing Snow,0Qur5LqqAVVunjY2PnjhUp
Tourist,2ABBMkcUeM9hdpimo86mo6
Two Shell,4mcHKwboFDmpDBQ4fiOrf3
yunè pinku,2sY4BbYrbvNVgsNzo6HddD
Fred again..,4oLeXFyACqeem2VImYeBFe
Dopamine,3Edve4VIATi0OZngclQlkN
Richard Norris,4vJGULmzR15eHf6zn6u29q
Skream & Benga,6TaOlqfpegMP5IpO3fZo38
THAT KIND,4zxtCQ4mwZH38FVCSbpqlZ
